AppName,word,count,tf,idf,tfidf
Amazon shopping,delivery,13985,0.012232402527825764,1.0,0.012232402527825764
Amazon shopping,prime,10623,0.009291727712055279,1.0,0.009291727712055279
Amazon shopping,can't,9830,0.008598106317377709,1.0,0.008598106317377709
Amazon shopping,don't,9616,0.00841092475563622,1.0,0.00841092475563622
Amazon shopping,need,8352,0.007305328989088365,1.0,0.007305328989088365
Amazon shopping,i'm,7756,0.006784019592836369,1.0,0.006784019592836369
Amazon shopping,ship,7644,0.006686055410990357,1.0,0.006686055410990357
Amazon shopping,out,7459,0.006524239574905426,1.0,0.006524239574905426
Amazon shopping,back,7212,0.006308193566727165,1.0,0.006308193566727165
Amazon shopping,never,7119,0.006226848308587172,1.0,0.006226848308587172
Amazon shopping,keep,6906,0.006040541427040738,1.0,0.006040541427040738
Amazon shopping,want,6865,0.006004679539043537,1.0,0.006004679539043537
Amazon shopping,alway,6657,0.005822746058472371,1.0,0.005822746058472371
Amazon shopping,phone,6499,0.005684546587653889,1.0,0.005684546587653889
Amazon shopping,find,6109,0.005343421311582952,1.0,0.005343421311582952
Amazon shopping,only,6014,0.005260326693052852,1.0,0.005260326693052852
Amazon shopping,money,5969,0.005220966084275437,1.0,0.005220966084275437
Amazon shopping,price,5826,0.00509588681638276,1.0,0.00509588681638276
Amazon shopping,search,5788,0.00506264896897072,1.0,0.00506264896897072
Amazon shopping,would,5657,0.004948065863418688,1.0,0.004948065863418688
Lazada,delivery,11477,0.01948828190002683,1.0,0.01948828190002683
Lazada,ship,5279,0.008963896501720104,1.0,0.008963896501720104
Lazada,online,4987,0.008468071955688229,1.0,0.008468071955688229
Lazada,its,4785,0.008125070043707274,1.0,0.008125070043707274
Lazada,alway,4514,0.0076649041122872795,1.0,0.0076649041122872795
Lazada,voucher,4435,0.007530759800175916,1.0,0.007530759800175916
Lazada,ads,3976,0.006751364366516221,1.0,0.006751364366516221
Lazada,need,3921,0.006657972756818437,1.0,0.006657972756818437
Lazada,their,3885,0.006596843703198068,1.0,0.006596843703198068
Lazada,fast,3811,0.006471189537422867,1.0,0.006471189537422867
Lazada,other,3645,0.006189316679062281,1.0,0.006189316679062281
Lazada,only,3632,0.006167242298588258,1.0,0.006167242298588258
Lazada,keep,3435,0.005832730532943466,1.0,0.005832730532943466
Lazada,price,3374,0.005729150747642286,1.0,0.005729150747642286
Lazada,refund,3366,0.0057155665135044265,1.0,0.0057155665135044265
Lazada,don't,3363,0.0057104724257027294,1.0,0.0057104724257027294
Lazada,can't,3181,0.005401431099066423,1.0,0.005401431099066423
Lazada,annoying,3116,0.0052910591966963145,1.0,0.0052910591966963145
Lazada,want,3081,0.005231628172343178,1.0,0.005231628172343178
Lazada,out,3079,0.0052282321138087135,1.0,0.0052282321138087135
Shein,clothe,11652,0.01955913061578025,1.0,0.01955913061578025
Shein,quality,10379,0.01742226370247024,1.0,0.01742226370247024
Shein,price,9413,0.015800729186949837,1.0,0.015800729186949837
Shein,delivery,7193,0.012074221294138975,1.0,0.012074221294138975
Shein,ship,6130,0.010289861884202963,1.0,0.010289861884202963
Shein,size,6058,0.01016900216876045,1.0,0.01016900216876045
Shein,everything,5212,0.008748900512310904,1.0,0.008748900512310904
Shein,return,4752,0.007976741219205951,1.0,0.007976741219205951
Shein,alway,4617,0.007750129252751237,1.0,0.007750129252751237
Shein,only,4535,0.007612483465719484,1.0,0.007612483465719484
Shein,clothing,4517,0.007582268536858856,1.0,0.007582268536858856
Shein,i've,4401,0.007387550106423694,1.0,0.007387550106423694
Shein,sizing,4287,0.007196188890306379,1.0,0.007196188890306379
Shein,i'm,4232,0.00710386549656557,1.0,0.00710386549656557
Shein,their,4069,0.006830252529660989,1.0,0.006830252529660989
Shein,don't,3813,0.006400529096976493,1.0,0.006400529096976493
Shein,would,3624,0.006083272343939892,1.0,0.006083272343939892
Shein,never,3553,0.005964091235656302,1.0,0.005964091235656302
Shein,point,3427,0.005752586733631901,1.0,0.005752586733631901
Shein,other,3211,0.005390007587304358,1.0,0.005390007587304358
eBay online shopping & selling,find,13088,0.012152624634506656,1.0,0.012152624634506656
eBay online shopping & selling,alway,11432,0.010614975918526903,1.0,0.010614975918526903
eBay online shopping & selling,price,9901,0.009193393681712287,1.0,0.009193393681712287
eBay online shopping & selling,need,9275,0.008612132754053273,1.0,0.008612132754053273
eBay online shopping & selling,never,7335,0.006810780997410325,1.0,0.006810780997410325
eBay online shopping & selling,i've,7080,0.006574005379913443,1.0,0.006574005379913443
eBay online shopping & selling,i'm,7066,0.006561005934246947,1.0,0.006561005934246947
eBay online shopping & selling,out,7031,0.006528507320080708,1.0,0.006528507320080708
eBay online shopping & selling,only,6942,0.00644586798691513,1.0,0.00644586798691513
eBay online shopping & selling,problem,6903,0.0064096552454156065,1.0,0.0064096552454156065
eBay online shopping & selling,money,6845,0.006355800399082982,1.0,0.006355800399082982
eBay online shopping & selling,everything,6805,0.006318659125750138,1.0,0.006318659125750138
